name,description,latitude,longitude,24/7,naloxone,fent_strips,type,image_url
Georgia Overdose Prevention Naloxone Box at Eric's Tires,24 Hours Access! Report Reversals at GeorgiaOverdosePrevention.org,31.4583358,-83.5283268,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR43i7jsL62TYN39C3ztTtKy3QAtbq3767BpfUrkPlKw9moa5mtHmDrp8OgQSGfbD1IZ8seOY5cZVr91a-rvbpLjzwKHJhe9rpHiSzlbyA815GtKBJmLShsf5zYFWdo8yJpYR3F8fwijwxG_HTKtF5NW84aOkjSHDjOJYNQHYlDTTzUFygG_f0Eq65dStZI0OXkb_Lx3Ip6ndv7o_R73xhIVwTP6zwIy_lqChx_7gzAUYFtMVvyut8gOH4pNWHUCGfj_V5HAmxkX?authuser=0&fife=s16383
Rivers of Peace Naloxone Distribution Box,24 hour access!,34.8727334,-84.316888,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR70IOIKOQ-mcl8a6QalJzCORR_nuQfu0jheWK7GNGIFxSuH9tLBLL_7lhTxUKShFFuSpLZUo1Umx2uVKbCBkOG-LNVJNkdK3P0oYe4bP0h1n953s45XqvPlRpljtHgrhDakeQAYrC1lINWFNYKdU2rSOiUTch5r274AIVdkTRcz8JftFFF2k_nm1HbXtIn8tDuaebPMO5_q9BsOR80LmrEDdGNbcKMPdctGV5ARp3JmbLtE-0Z5OyXVeS2gEc7jkiv4iY7m-081?authuser=0&fife=s16383
Rise Up Naloxone Box Supported by Georgia Overdose Prevention at Bobby's Food Mart,24 hour access to naloxone. Report reversals to georgiaoverdoseprevention.org,32.5432407,-82.9065706,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6K-IE8J_1DfaLOygIxvX_D4aPrAIbSAzVrNFopOqPbO25ndzvTpb6QTk4lsOmph685C6A4045Xu6_n0vgB30ZFBMNggctRUtbh8jHtkEb8aMRQsGRHsgxHQG6cocjfTy-UEpRQVEFvc63HCB5Fw8Yx8Enmb-k0OpkXRtib3TCy9FDKjeF7n2AZtw5SCBJlZIMgN-uUsSNX-RKvSrMJLsN3qfPOV7GJdgEm125_GB4An5obDyH9BXF4cw1eFfaUdvgLTOZyCN8o?authuser=0&fife=s16383
River Edge Behavioral Health,24 hour access. Narcan and test strips.,32.8475668,-83.623526,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5yHrM5G_NRnwtfKaWKZfUtuAD4ipVeHy1QFw2X8_XNNGS9XiVGY2yYlpxTb8RrB-aI_9nz43TGcMrvbCwbjRlz2jWXdPsV43J7w3nuOiKv6qIYkWapg1vGGKIfgyLOmiAug_j-99jQLRLHPpj9ZV7sMITR-WIwLlOwD_vxMxYKsgfqT1udRjVdCSyElBENP7ggw_1h3cJCETTIIb3L2NzMtZpk7B_o4fdar9D4GqFnf5RAhzVBBrzRp3J2jwWIOz0I76eq4KyI?authuser=0&fife=s16383
"Daybreak Naloxone Box, Supported by Macon Recovers",24/7 access to naloxone and test strips. Supported by Macon Recovers,32.8351311,-83.6205376,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5VQT5Kf9JWBs7PuSXG-byuI--X4FJ_vODqHTU4k4ZeBrD_Hbb5jgERI1tvj825T95ZnVJ3r7Xmn2_YY5AQ1-VgCtT-fmmv9eYB5HY5t5-36aDHM49DNypiWpreobAQHuni4uB4V6QS8gchF4JcHirkB6mVZxD_cp3f3AsOww1D866GjBYAqel9re3OmY1hPsZ4uNCH4ce2Xf8lH4hz19ivyamVJ9LVIdyJ3E_YGQsOi_DT9wQnEnvJ2xy1Ep1OfjdEATrbQZEJ?authuser=0&fife=s16383
Georgia Overdose Prevention Naloxone Box at Premier Drugstore,24 Hour access to naloxone. Report a reversal at www.georgiaoverdoseprevention.org,33.7505767,-84.7465904,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6SfGDHlpu-Z95Ko2J1m-od4Vy4vptEZOfD0VTbHwh8XAMmwJiuwn3vaAehXGYlfyL_mAH2GzI5hOdTvKk030SFtS2shZs0G6MnB_xhAFjfuFEuLlbI06Zp_F3G2KY-bUD-5tPHe1aKcwii9oIZVfzQATd7kKouOOuhfMy92eTRQp6Jp_sYYkMUjfUNyxfdHTr1javUndf6yGXrRQw6k5gpdvtWt3Ek8zfJcHmBV7ciXzjsKS2LYn_-R4qZ1STAkQe_TPK9ccfZ?authuser=0&fife=s16383
Georgia Harm Reduction Vending Machine at Avita Community Partners - Behavioral Health Crisis Center,"24 Hour Access. Multiple harm reduction supplies: Naloxone, syringes and condoms.",34.3131333,-83.7747389,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4rk1T6SnQvDJ8asyAnYH7kUHF-lNxZ31oo99vutPeiV_UHpixF11OOSx5wd_vID66ndux8G3lwk1hvO1LCxJsvf0bxRI3pnlAi1qIlJT-_uj4k9aaN58JjkYlE3GEw4bC8_uuxg7jgzu2-UbiGJhrcxVU3HQ7Xn4W0AFrfeXChZLD-7NtF6YqrBaqdAKAtYUc11oWSnWVeSE_0inI8_w5qy0qSBr5PqHWjeWJZlGcIf4tFnyeeHTdV-2kr2Juyt3C-ihkb2kB_?authuser=0&fife=s16383
The Vine 1435 N Expy suite 108,24 hour access Naloxone and fentanyl test strips,33.2721564,-84.2927266,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4hGUWawSPhMammK7wV2W1_1Q6LG7a0cb5kOP9FjoQtc_SJB_ryXWs_EsAd-OrIdlvwJ4BIvVOFWcxq2Ls1I12KfWXODi45Y0KQwWl3GsIibc6x_qEXGgiuecwjlG_z1gjMMQPb6k94wV9JwS8RoCqMUeeuPAasSPV-s_7EZHPRIcyYeafuwtL8mM4OSNt5gSSmDncVdKE2CCB0HESO9Dps9qIjRwXciwiH8jKrogt0fMI3nik718xLZstbI2WtXA3O1lO8vLzo?authuser=0&fife=s16383
20 Commerce Dr,24/7 Outdoor Naloxone Box,34.8717587,-83.9430627,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5RqSMgDbDc9VqjYVFycWSEMc1uZwrZb6JpRdWCmo7stMeddRcVepgvdAxDE-CaJLTZ-rSkaBU1BEa3y-4l9tYfP8X7q_PISUBDqGc9fJW7hB3K2Oq2OHAYTSEMHXAUVg7mY-gtPIrIQR6n7GH2bqMfC9i1ZQKlQlKdQWTyzt-P8IaBAO9Wn6UAXvGrmcpmNVZKWVdCxRkG9GR55HJmqONnifuOWe8m3PI5nVwoMPwXEJGPH-MjJEzEMe0g_jdjM9fpjYQapOPt?authuser=0&fife=s16383
76 C Hunt Martin St,24/7 Access Naloxone Box,34.8727846,-83.958415,TRUE,TRUE,FALSE,V,none
243 Hunt Martin St,24/7 Outdoor Naloxone Box,34.8721949,-83.9607573,TRUE,TRUE,FALSE,V,none
The Arena Naloxone Distribution Box 319 E Cherokee Ave,"24/7 Access to Nasal Naloxone, test strips and recovery information https://www.recoverybartow.org/",34.167375,-84.790011,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5KO0hW9BX6pyqRbn2Uw6pp6_1vuzmGlGs8GblnFYZ8vBS-fd6Ibg9xeqSiw-Sb4Y5OtzaqEfHkeu04GEsT0ia-YknlS02i-zjD91oiFYnfW9kKSptnXvW0c0P3j3_fgX9A3zxJAsQLadlS_ZPrs-6PUacHa6dzAprQicWJWh9d0ZCyZlmfB2nybE-TRtAMQvFRVN7L6lttBs7eZz9C4VflHMzBTpvGU9PdPyJTfuZkG8KNwcGL4oT7Gmoi1Y_LP0lcKdqFQll8?authuser=0&fife=s16383
110 W Porter St SE Naloxone Distribution Box at The Good neighbor Homeless Shelter,"24/7 access to Naloxone, test strips and recovery information. Supported by the Arena RCO https://www.recoverybartow.org/",34.1784259,-84.8018584,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4WNcd9YvC3zKeXOKAvsdI9RBOl0lntIGKOgvAHyKa7WZX5Pb-UXWk968mkWLOUWVOf4Tu4pM3qvji_U1E2rP-y-Ii_6DOA7fmLHezvInVrAF2NiyizYhBY9X5rDG3ejUmDKsMmSU86vJBfCBWuguwRE13JxNYuZkcKIKZvVfai_Kx9OzKTNpjD3mbeq-ToJqfHZ3RkvK5gYjJFXaFIToQX7zjimIKtKNOP94YKls7xWhB-r8EQHvkaAOh5d_Te00cFt8I2j8s3?authuser=0&fife=s16383
215 Willowbend Rd In Ryan's Name/Georgia Overdose Prevention,24 hours access to Naloxone. This box is a partnership between In Ryan's Name and GeorgiaOverdosePrevention.org. Report reversals by texting 404-912-4812,33.3979112,-84.5844683,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5F-d78RvemKCABFowOtmrT5nXNoVDr997Os9_y72kQfe5IytFtr5UQIXJgIwlBPdJIdOqd3H-rOvAIQ8_Xe4dSecF4E6bGJ3RpVb0C6rcyZr0HJPU52q2JM05UzHtYuy7nG5EkdMtHvn9kkHdJeNgr56DBACk5Wq-wqaIfqwHQNgdcYnfBgknzE45d7HB3IgLQgvnQtj9XvQMagQXmbKW8J6_FjmSd0aBr9aLZ7p-4nWXnBBxTTJvrBMkf44KvQTrCP2tfWhwU?authuser=0&fife=s16383
New Seasons NW Georgia Supported by Georgia Harm Reduction Coalition,24 hour access. Contains Naloxone. Syringes and Test Strips.,34.9509081,-85.2601184,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR6raKlPkSynh4QVjRrcc7VGIuU8kzUtljGZvMs4bYaGw2K3AUYJg-y9M4aC6ZmZPsZSa0Katw3LW6K4JNxhODd2Fnxo9E3d6bTtcvYGOo1x03U7eUVyObKg5RrTx0Ylvpkxnq9CLPXblAA7JW9UfEuXNKv9aEpbC6f6W2KipxKzU9myuro2k7tyHBYY_t3yP8CIsLA19Em0Sym3k6Xbkpwk8OxHjo2qcVA7QeUvnZCYVKPrfc69R33m3OGwVK1TH3MBvwuChvoV?authuser=0&fife=s16383
30 Buchanan Bypass Your Haven,24 hour access to Naloxone,33.7933584,-85.1825088,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR7IViZTXzAmrl1ZUPTgZpt1Oi4Rii7FJWBTKHXnW4dSwajHdutM-AV9tAC8W0zFJ_bX30y4VCbDRbjSY1w75J3o8C84DW628q46wOnNa-2_kpNWiToe5X5eaerrEfL3UEDR4CwlaRBRCdz_zHAGHQY6zweD4yhD0dl9swJ_5Fh_GtLoLBofZdIohkiRDw_1weTya2VaOxN5uwo7uf7sfecLqf-S8LJsEVfasxtdWjnORnYpjt46_qASvwFg-IYCkE459jV-nRk2?authuser=0&fife=s16383
Georgia Overdose Prevention at The Byllesby Center,24 hour access Nasal and IM naloxone. Please report reversals at GeorgiaOverdosePrevention.org,33.4832055,-81.9974232,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR66XbduaQOmM7N8FM36uDBSenNB0IDUhdgeT6-jxYskxEkaFTAmF_al4iMVexmaMkRM692GJjD0V5MiLVH42GqgPF6S7z9pNA5f7ncpmgEbs4Uu5IcjVQfPyti-1EFT_7qm-zG2YMYLMlmiuL9LA761HOTIMyamo_AgsGAHdJZVO1mDyWu1C83p0Mx3CyJhdpgljoaSC4QzIjWX8IzvbDMdreMlU000PDO6yWQsJUHHA6iV8MrBi0ydGAnQD9LPz8I8co3oNLKo?authuser=0&fife=s16383
"15151 ALCOVY ROAD, COVINGTON, GA 30014",24 hour access in the jail,33.6291682,-83.8314752,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR65X22e0Lc7OsXsR_-C-muAfq8TYf8uEBvz0cbaiAjRv4dBQBd1xV98nXS2pd8N_fzUehOCRB8MD7QGwQ4mJbkjrC7NmB3K8mZ2NsB9yuaftwOLqViBR_xxsByIdj8q4ZK-yA2vEhn29MzNkv7ATzwoUEuW4GGDf9f-TD4P7L-97i5cAjg7_8KlyjRjVJlcyKhrjP1eyAkZPA5gRvaoXKjnYJWJgSm9bo7952-PdjHV4N91OVTYjUyhyOhaZfXsgkZ_hm2GwWVk?authuser=0&fife=s16383
The Connection Forsyth,Naloxone 24 hour box,34.3443323,-84.1497011,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4q1XzPPCFV0jstRM03En3uBJ9DMpEMcrYY_c-fgo1wGE2Lc7uwF0_JdfpqkaXcyoePVSXnY3qrgCU6HHMzGfcD9UYxwP34g7RNc_4-ZHKh05kSE5twR1twxtfk9e3MikjOvQOf9k3yNfWypo0_GQ64NVIHfnymMwrqzz2bFeIZAmMLPeC7vy-PxmZBmdnsf2LQzNeJ6nYNWLkv7Y8iR37RNOuLiTCey3Kj8rYS-LEwdOdue-BpB6f5RRREDztA4DX9q20KRpTh?authuser=0&fife=s16383
"Circle of Recovery Peer Center, Recovery Community Org",24 hour box outside,32.0536116,-81.0993141,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5o1qNMW9aGol-fHK1Z1lb4R_hKKz86DdVbrG5mB5GowYcGNQOP4fR7HAfZaP_e-A44-I2FLOELIFwP_r8zBzPfPonR9q54Ng4_GCNRTD3hc7bQBCTunJxfRC0gE5bpmUi599PNfzkp_iwdqNAQsjcAbd8eXjaYwFg0tlZl6aafNfTiltLmtKJCkp7TqvCAKXKXxFTMS0_0O7NHIwYXZ_qZOr08KHSTovzU0YCKh13kjmWJAejknmkBO998vED1qF_p_WRxlr-b?authuser=0&fife=s16383
654 Red Bud Rd NE || Recovery Gordon,24 hour box. Nasal naloxone Recovery Gordon: https://www.facebook.com/p/Recovery-Gordon-61579646180735/,34.5135527,-84.9336523,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR42YVQYnZMneGVQsKN1ffoqioTMqupN4oKUg65QogbeaEtIze013rM0zN7C7Gj3F8YW54FkWO-o7BDe4xvW3teJl5ORjE94fUDcn7VmdyEgY2L0rkKtNaEWlmqujxyJ28OBkEC6KXBO52CZt9R5WuAOxd9LEg8cfoda6BDdODf7h1-XhqHU3ux8SWmATUi0NHD8SRm6oSv6lRy5jEYGUmM_xZKUbbntqZ2WBhpusInpsVBEo8OZY4HcZ9CZof6S2M6xIcEZ9IjR?authuser=0&fife=s16383
325 Old Mill Road Building 3 ||The Compassion Center,24-hour box Nasal Naloxone The Compassion Center: https://www.compassionga.org/about-us,34.1519891,-84.8132378,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4C0k1klt2gtRuZ9C9gK_thouFw4kEzdZyACx3Yu-vk4pk95TQJLLEIdxhkK5AuGLEXKfyCLTRJPgEU9503fhIxw77jY2D91abA8eIj11wnplVKDwREODyMARbxJ4rFYc2FfgqAGGcGwHYIxsnvaj6L2VspkqmNNhWSkYihpLog8cKgrvJcGhqECPrIMdSel2Uze5X4g97o-05CuMU62q7Ir1szak3KsUgiv1jZ4WgCgp3dvPrBI9-9PTaZ2ifhcT6HDxMZtNU_?authuser=0&fife=s16383
6503 Glade Road SE || Allatoona Resource Center,24 hour box Nasal Naloxone http://allatoonacommunity.org/?page_id=1372,34.1138209,-84.6808123,TRUE,TRUE,FALSE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR7p4xJyL7zWZjJw8Nq1ISBJtXDUeSsNKUNfCgKA21E6Sp-kOowoHfL-91e1ZjSuk1g_4Ja23Y79OWu1j7T0BNPBbPYGl0llS7neLZrKj9kXMO4XXd_VsKbKKxgQkz2-iPx3mwPzfE4h6pjvY4J_GbJbfBv_ZYUXmyPO5EBuxgNYMpN9Uu-EBNswirklVYSB8gq201w6RAy1NkWEXXJvyXE84u-DEnTDnzUenVMJ6q1TfbDDaIbUq-wByyWd1aEEPQ8JvOc8clBb?authuser=0&fife=s16383
794 Second St || Dennard Drugs,24 hour access: nasal naloxone and fentanyl test strips,32.3783874,-82.591274,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR5dMtbfYIqbN8PknixlfX6GO1v3Up_R4j0I1gUnoEtwfGt5ofvhnMfErLLOsYUN91_-Ee-JIfNkYVHI_SAfKfwcQqAkqPrYmg1VCk9Bv3yNZXqc3h_tNrBfDUcI6glRGnGzwmiVFdiKqswHVDpW58GYpuPVyKT6nCjQYF_s74NoOmCkBCDweUocXgJV9muOgBCQdQ6iw86H9JcGHfnJoAksxDKqQ6MbyfsG8KLT5EBWoGRVybha81EIE9JNRPT_OMova6E9JFNh?authuser=0&fife=s16383
333 College St || Eastman City Hall,24 hour box with nasal naloxone and fentanyl test strips,32.1958157,-83.1756607,TRUE,TRUE,TRUE,V,https://mymaps.usercontent.google.com/hostedimage/m/*/6AAjQbR4Vg2DAkteTWhQ4j_N3ohs7brO87K6U1lpXAMN0_SS7_Ew3psrdKeGGd4WvlRKDzWDtGeaoccLKyjK0Z7uRkxWD0rK1FZosn19n3ABkZlkyNdODxCJjeGI4eGGq0_JTu-Rb-UG1_isw5hWGUSCu1f1SgqzXOcRhyt42AyNqOW2yRW3Z7oR9e6w4F6C7ADW2reB4qAfkoc32RxOW5EddlW44kEZjJkDJjaKkY7MM0XKAndErLoZnEXOEHD1j5jmEgZT5gq9FZ5uq?authuser=0&fife=s16383
"621 Academy Ave, Dublin, GA 31021 || RISE UP",24 hour access box on porch with nasal naloxone and fentanyl test strips,32.535004,-82.9129029,TRUE,TRUE,TRUE,V,none
